,k_sat,c,t_sub,z,T_SA,NS
0,1e-06,10.0,200.0,1000.0,1.0,0.6516555529346522
1,1.5898859916772146e-06,10.1996532146377,161.7902260279675,888.8243062526362,1.0,0.6557705335529602
2,1.2990088126714995e-06,10.34183363052911,167.29022084728268,886.019214211165,0.9991670137924584,0.6853094055665327
3,2.0133300981476535e-06,9.606609980852857,125.3683655676806,922.3049424213535,0.9983347214509388,0.6446430785119579
4,3.080697595629171e-06,10.434674501595303,93.46129664317014,919.517694383293,0.9975031223974602,0.6482521832497772
5,2.6099761372429516e-06,11.252670964123272,94.46349002993702,776.3471568881166,0.9966722160545234,0.6922750134492857
6,2.2539118036416997e-06,10.045346833515769,88.96046123428225,816.9671305159212,0.9958420018451101,0.7030130174477911
7,2.515719993295771e-06,9.408594286856259,89.83926305819563,837.3875459486915,0.9950124791926824,0.6943873139456401
8,2.097649029035485e-06,9.898367500936294,62.65251246976315,834.721597059589,0.994183647521183,0.7327369344547907
9,1.8441892355498862e-06,10.733664933737181,55.34745409807003,863.2499412215815,0.9933555062550344,0.7435655554720183
10,1.1082331387136034e-06,9.893928605487526,43.32446829335092,731.2267837132632,0.9925280548191385,0.8422539238158144
11,7.367845626758541e-07,10.340614140014287,67.81068369693403,811.0597838144712,0.991701292638876,0.7869101657969909
12,1.0118135586510313e-07,10.389547287509755,89.6494268369151,690.0235062311917,0.9908752191401066,-1.979263554764104
13,6.214883925757297e-07,9.943066789696164,11.847003814956864,863.1121257748175,0.9900498337491681,0.6983127725763458
14,3.9790047456837166e-07,9.028329089733184,35.45870007721452,789.60931454966,0.9892251358928762,0.4269686478365523
15,5.427764417764228e-07,7.302044051529011,69.51876154446194,685.2634819009384,0.9884011249985238,0.7151287442796309
16,1.7900177865625893e-06,7.539941424065558,75.24244602424272,625.4214010416182,0.9875778004938814,0.7934870654452328
17,2.088706717093781e-06,7.673090735188769,102.69684457378152,563.738315458753,0.9867551618071958,0.7650356517560767
18,1.9413159894565883e-06,7.154343223140705,102.7842242513816,578.8768524495147,0.9859332083671899,0.7710409044005252
19,1.8123817959229997e-06,7.166284777407263,106.17153059021508,504.31073373771176,0.9851119396030628,0.7907206122609081
20,2.762157601015166e-06,7.027180992386869,88.14871659303193,409.63006328790453,0.9842913549444888,0.7272437866688632
21,2.771010642057872e-06,7.818432112460832,82.17053931030901,350.7502696749139,0.9834714538216176,0.7068444300678713
22,2.2136543723102315e-06,7.3480157329530735,119.59895558951214,417.51913807616904,0.9826522356650732,0.7666095675249749
23,1.6217128988188717e-06,7.966103219605831,128.8919088319409,392.15239483507503,0.9818336999059543,0.815739288782407
24,1.8624538347979118e-06,8.200431393083255,119.39061002959494,437.33588355439923,0.981015845975833,0.7931431196720358
25,1.6282347254188241e-06,7.169054633822686,122.85693500747927,422.6121036797351,0.9801986733067554,0.8103097642306194
26,1.0956509374395463e-06,7.843048358157308,119.79483618794195,460.39409345985194,0.9793821813312402,0.8650421110884647
27,8.674195247440339e-07,8.435768342374779,123.7855400534356,418.62874669438753,0.9785663694822793,0.8719850151825568
28,1.2499837424383484e-06,8.882543729208574,134.13584534636345,569.5642315347965,0.9777512371933365,0.8225500533319922
29,1.470668141075185e-06,8.27410441252332,100.80648867923021,682.8135046564585,0.9769367838983476,0.7986359887774644
30,1.8108555190418845e-06,8.566077787453894,140.00894583343077,665.5108246193382,0.9761230090317202,0.7324080402397767
31,2.0662809903343534e-06,7.5067032848248765,141.73555757352904,553.5578887722562,0.9753099120283327,0.7417802659511316
32,2.5894929490365203e-06,8.098606019074866,143.53190002977118,442.64806111795525,0.9744974923235344,0.7479289497906347
33,2.23613759440873e-06,7.513599430524352,137.181020340427,306.89665653335294,0.9736857493531451,0.7620152942573443
34,3.049944188991746e-06,9.067561461998713,118.90730555354257,692.9602405087097,0.9728746825534541,0.6945005230055169
35,3.472971914174029e-06,8.662060505012693,167.8898056359554,582.238658550639,0.9720642913612205,0.6770050372052002
36,3.5823306636463166e-06,8.063015863562594,139.21566093012652,600.6439017591341,0.971254575213673,0.6924499666042535
37,3.1947366677990454e-06,8.888069461894679,155.55191559983547,573.6308475932947,0.9704455335485083,0.6947843473901323
38,2.940318848582864e-06,8.084064356878972,155.7414353031625,549.0090358406322,0.9696371658038919,0.7058897669670106
39,3.2953909543002853e-06,9.882019720350872,150.13155014622853,549.7457560002102,0.9688294714184575,0.7040845346539634
40,3.3895478941695084e-06,9.527743548920345,126.09493337532135,500.8340652102422,0.9680224498313061,0.7301351554144511
41,3.305583471293127e-06,7.7797200532895845,86.04934798326585,513.1834523054345,0.9672161004820059,0.7347887009771588
42,3.0213012826303145e-06,7.64831001884427,119.81513039641779,405.1118565311336,0.9664104228105922,0.7425801453953207
43,2.9136812010480484e-06,9.012906159111115,119.11510689067113,416.4866803402065,0.9656054162575666,0.7531103079112154
44,2.4058168094931208e-06,10.045523998074286,135.12008783844456,578.6771355169066,0.9648010802638964,0.7266132494487312
45,2.3502093780588505e-06,10.516281182126649,119.45949025622134,619.5863257163392,0.9639974142710154,0.7269105577414015
46,3.4958753965687047e-06,9.961278603728884,100.07837654368505,761.4374422583751,0.9631944177208218,0.6820346293496222
47,3.3022609400111668e-06,9.605194751097002,80.50075003853996,642.1419700072885,0.9623920900556793,0.7273647067861182
48,3.439078162597385e-06,6.8884200544567395,59.99738779699304,606.6696820490862,0.9615904307184158,0.7167257346513405
49,3.6909261329074933e-06,6.121890706106231,80.4637885970254,528.0816085854019,0.9607894391523233,0.6753744484793056
