file_path,start_time,end_time
/scratch/waseem/MIRA_insitu/trimmed_data/20241011_trimmed.nc,2024-10-11 14:45:22,2024-10-11 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241012_trimmed.nc,2024-10-12 00:00:06,2024-10-12 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241013_trimmed.nc,2024-10-13 00:00:07,2024-10-14 00:00:00
/scratch/waseem/MIRA_insitu/trimmed_data/20241014_trimmed.nc,2024-10-14 00:00:06,2024-10-14 23:59:58
/scratch/waseem/MIRA_insitu/trimmed_data/20241016_trimmed.nc,2024-10-16 00:00:06,2024-10-16 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241017_trimmed.nc,2024-10-17 00:00:06,2024-10-18 00:00:01
/scratch/waseem/MIRA_insitu/trimmed_data/20241018_trimmed.nc,2024-10-18 00:00:07,2024-10-19 00:00:01
/scratch/waseem/MIRA_insitu/trimmed_data/20241019_trimmed.nc,2024-10-19 00:00:07,2024-10-20 00:00:01
/scratch/waseem/MIRA_insitu/trimmed_data/20241020_trimmed.nc,2024-10-20 00:00:07,2024-10-20 23:59:59
/scratch/waseem/MIRA_insitu/trimmed_data/20241021_trimmed.nc,2024-10-21 00:00:06,2024-10-22 00:00:01
/scratch/waseem/MIRA_insitu/trimmed_data/20241022_trimmed.nc,2024-10-22 00:00:07,2024-10-22 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241023_trimmed.nc,2024-10-23 00:00:06,2024-10-24 00:00:01
/scratch/waseem/MIRA_insitu/trimmed_data/20241024_trimmed.nc,2024-10-24 00:00:07,2024-10-25 00:00:00
/scratch/waseem/MIRA_insitu/trimmed_data/20241025_trimmed.nc,2024-10-25 00:00:07,2024-10-26 00:00:01
/scratch/waseem/MIRA_insitu/trimmed_data/20241026_trimmed.nc,2024-10-26 00:00:07,2024-10-26 23:59:56
/scratch/waseem/MIRA_insitu/trimmed_data/20241027_trimmed.nc,2024-10-27 00:00:06,2024-10-28 00:00:01
/scratch/waseem/MIRA_insitu/trimmed_data/20241028_trimmed.nc,2024-10-28 00:00:07,2024-10-28 23:59:57
