file_id,start_time,end_time,spinup
2024-10-04,2024-10-04T00:00,2024-10-07T00:00,24
2024-10-05,2024-10-05T12:00,2024-10-08T12:00,24
2024-10-09,2024-10-09T00:00,2024-10-11T00:00,24
2024-10-12,2024-10-12T00:00,2024-10-15T00:00,24
2024-09-30,2024-09-30T00:00,2024-10-03T00:00,24
2024-10-08,2024-10-08T00:00,2024-10-10T18:00,24
2024-10-01,2024-10-01T06:00,2024-10-04T00:00,24
2024-10-10,2024-10-10T00:00,2024-10-13T00:00,24
2024-10-06,2024-10-06T00:00,2024-10-09T00:00,24
2024-10-17,2024-10-17T18:00,2024-10-20T18:00,24
2024-10-16,2024-10-16T00:00,2024-10-21T00:00,24
2024-10-27,2024-10-27T18:00,2024-10-30T18:00,24
2024-10-20,2024-10-20T00:00,2024-10-23T00:00,24
2024-10-24,2024-10-24T00:00,2024-10-27T00:00,24
2024-10-29,2024-10-29T00:00,2024-11-01T00:00,24
2024-11-03,2024-11-03T00:00,2024-11-03T00:00,24
