file_path,start_time,end_time,bl,sip
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-11-30-09_wrf_added_CONTROL.csv,2024-11-30 08:43:55,2024-11-30 09:27:03,5,0
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-11-30-09_wrf_added_SIP.csv,2024-11-30 08:43:55,2024-11-30 09:27:03,5,1
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-11-30-15_wrf_added_CONTROL.csv,2024-11-30 14:50:14,2024-11-30 15:53:02,5,0
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-11-30-15_wrf_added_SIP.csv,2024-11-30 14:50:14,2024-11-30 15:53:02,5,1
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-01-15_wrf_added_CONTROL.csv,2024-12-01 14:58:58,2024-12-01 15:49:10,5,0
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-01-15_wrf_added_SIP.csv,2024-12-01 14:58:58,2024-12-01 15:49:10,5,1
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-02-09_wrf_added_CONTROL.csv,2024-12-02 08:45:21,2024-12-02 09:51:05,5,0
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-02-09_wrf_added_SIP.csv,2024-12-02 08:45:21,2024-12-02 09:51:05,5,1
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-02-15_wrf_added_CONTROL.csv,2024-12-02 14:47:01,2024-12-02 15:39:07,5,0
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-02-15_wrf_added_SIP.csv,2024-12-02 14:47:01,2024-12-02 15:39:07,5,1
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-05-09_wrf_added_CONTROL.csv,2024-12-05 08:51:01,2024-12-05 09:34:51,5,0
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-05-09_wrf_added_SIP.csv,2024-12-05 08:51:01,2024-12-05 09:34:51,5,1
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-05-15_wrf_added_CONTROL.csv,2024-12-05 14:47:13,2024-12-05 15:41:13,5,0
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-05-15_wrf_added_SIP.csv,2024-12-05 14:47:13,2024-12-05 15:41:13,5,1
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-06-09_wrf_added_CONTROL.csv,2024-12-06 08:45:27,2024-12-06 09:41:17,5,0
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-06-09_wrf_added_SIP.csv,2024-12-06 08:45:27,2024-12-06 09:41:17,5,1
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-06-15_wrf_added_CONTROL.csv,2024-12-06 14:47:24,2024-12-06 15:39:38,5,0
/home/waseem/CHOPIN_analysis/data/radiosondes/wrf_data_added/2024-12-06-15_wrf_added_SIP.csv,2024-12-06 14:47:24,2024-12-06 15:39:38,5,1
